Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
luxury travel company affiliate program,2,2,1600,29,0.00,https://www.villiersjets.com/affiliates,211,30.53,0.00,0,68400000,[100],2025-01-01,"Sitelinks, People also ask, Related searches, Discussions and forums",informational,Organic
villiers jets,1,1,170,30,1.03,https://www.villiersjets.com/,136,19.68,140.00,0.21,83,"[53,53,100,53,17,43,43,82,43,23,7,23]",2024-12-26,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches",navigational,Organic
velerelirs,3,3,1600,62,0.00,https://www.villiersjets.com/,131,18.95,0.00,0,53200000,[100],2025-01-02,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
villiers jet charter,1,1,110,29,1.03,https://www.villiersjets.com/,88,12.73,90.00,0.21,54800,"[34,42,80,42,42,34,42,65,42,34,34,42]",2024-12-14,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",navigational,Organic
villiers,3,3,480,54,0.00,https://www.villiersjets.com/,39,5.64,0.00,0.05,34500000,"[48,39,48,48,59,72,72,48,11,32,48,59]",2024-12-23,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
villiers jet,1,1,40,30,1.03,https://www.villiersjets.com/,32,4.63,32.00,0.21,96,"[34,26,34,0,100,7,0,0,0,3,3,0]",2024-12-27,"Knowledge panel, Local pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
private jets,15,13,9900,71,1.99,https://www.villiersjets.com/,29,4.19,57.00,0.35,60200000,"[81,66,54,36,81,44,29,36,29,36,44,54]",2025-01-07,"Carousel, Image pack, Sitelinks, Reviews, People also ask, Related searches",commercial,Organic
luxury travel affiliate programs,2,2,70,13,1.56,https://www.villiersjets.com/affiliates,9,1.3,14.00,0.44,17800000,"[52,66,52,42,33,33,33,33,23,23,23,14]",2025-01-03,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic
private jet affiliate program,1,1,40,4,3.56,https://www.villiersjets.com/affiliates,9,1.3,32.00,0.46,1830000,"[19,23,19,19,14,14,23,19,19,19,23,19]",2025-01-01,"Image pack, Image, Video Carousel, People also ask, Related searches",commercial,Organic
luxury jet charters,13,13,590,58,2.44,https://www.villiersjets.com/,1,0.14,2.00,0.15,4840000,"[0,0,0,0,0,0,0,100,0,0,1,0]",2025-01-06,"Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
netjets affiliate program,8,8,70,21,0.00,https://www.villiersjets.com/affiliates,1,0.14,0.00,0.18,72,"[5,5,5,5,5,5,5,5,5,5,100,53]",2024-12-24,"Image pack, Related searches",commercial,Organic
jet privado,12,12,880,68,2.03,https://www.villiersjets.com/,1,0.14,2.00,0.21,9800000,"[55,55,100,55,55,55,55,67,67,76,67,55]",2025-01-05,"Image pack, Sitelinks, Reviews, People also ask, Related searches, See results about, Things to know, AI overview",informational,Organic
high ticket travel affiliate programs,20,20,90,48,1.78,https://www.villiersjets.com/affiliates,0,0,0.00,0.25,1950000,"[53,65,100,34,42,19,19,19,15,7,15,11]",2025-01-01,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
jets privado,19,19,30,54,2.04,https://www.villiersjets.com/,0,0,0.00,0.16,13400000,"[0,0,0,0,0,0,0,0,0,52,100,33]",2024-12-31,"Image pack, Sitelinks, Reviews, Ads bottom, People also ask, Related searches, Things to know",commercial,Organic
